aar_wheel_arrangement,actual_owner,adhesion_factor,brake_system,manufacturer,cooling_fluid_capacity,cylinders_size,delivered_date,first_service_year,first_unit_year,fuel_capacity,fuel_type,gauge,generator,height,horsepower_total,horsepower_traction,length,lubrificant_oil_capacity,minimum_radius,model,motor_builder,motor_capacity,motor_primary,motor_type,multiple_traction_units,nickname,operated_railroads,operation_locations,original_railroads,prime_mover_type,rpm_limit,sand_capacity,serial_number,sigo_numeric_range,status,total_units,traction_effort,traction_motors,trucks_type,url,velocity_max,velocity_min,weight,weight_adherent,weight_per_axle,wheel_diameter,wheelbase,width
C-C,,,6SL,GE,,,,,1956,,,,5GT-581-C3,3.0,1320,,14.0,,,,Cooper-Bessemer,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,5GE-761-A3,,,,,70000.0,,,914.4,2.0,2.0
B-B,,,6SL,GE,,,,,1959,3028 L,,Métrica,5GT-581-C3,3664.0,1420,,15144.0,,,,Cooper-Bessemer,,,V,,,,,,DIESEL_ELECTRIC,,,,2401-2445,,,,5GE-761-A3,,,97.0,,70000.0,17500.0,17500.0,914.4,,2743.0
C-CA1A-A1A1-C-C-1,,,6-SL-AV-1,GE,,,,,1958,3407 L,,Métrica,,,1980,,,,,,Cooper-Bessemer,,,12 cilindros em V,,,,,,DIESEL_ELECTRIC,,,,,,,,,,,,,92500.0,,15400.0,,,
C-C,,0.25,28L-AV-1,GE,851,"228,6 mm x 266,7 mm",,,1968,6000 L,,,,3.0,2150,,15.0,,,,GE,,,Combustão interna,,"Namibiana, Cachorrona",,,,DIESEL_ELECTRIC,1000,0.51,,,,,22,5GE761 A6,AAR,,120.0,20.0,94.494,94.494,15.75,914.4,,2.0
C-C,,0.25,26L,GE,,,,,1985,6770 L,,Métrica,,,2408,,17983.0,,,,GE,,,12 cilindros em V,,,,,,DIESEL_ELECTRIC,,,,2801-2810,,,,5GE-761-A20,,,,,120000.0,,20000.0,914.4,,2795.0
C-C,,0.25,26L,GE,,"230,2 mm (9 1/16 in) x 266,7 mm (10 1/2 in)",,,1972,15000 L,,Métrica,GT596 CC,4.0,2475,,20.0,,,,GE,,,Combustão interna,,,,,,DIESEL_ELECTRIC,1050,,,,,,38,752B,,,103.0,,,,,1016.0,,3.0
C-C,,0.25,26L,GE,,"230,2 mm (9 1/16 in) x 266,7 mm (10 1/2 in)",,,1981,7500 L,,Métrica,,3.0,2850,,16.0,,,,GE,,,Combustão interna,,,,,,DIESEL_ELECTRIC,1050,,,,,,24,761A17,,,103.0,20.0,120.0,120.0,20.0,914.4,,3.0
B+B-B+B,,,,GE,,,,,1963,,,,,,5000,,,,,,GE,,,2 motores GE FDL-16,,Baby Hueys,,,,DIESEL_ELECTRIC,,,,,,,,,"""B""",,,,,,,,,
B-B,,0.25,6SL,GE,,"158,8 mm (6 1/4 in) x 203,2 mm (8 in)",,,1961,1514 L,,,GE 5GMG-146E1,3.0,600,,11.0,,,,Caterpillar,,,Combustão interna,,,,,,DIESEL_ELECTRIC,1300,0.34,,Série 2000 (2001-2088)  e 3000 (3001-3020),,,9,5GE – 761 A1,,,64.0,20.0,49.895,49.895,12.47,914.4,2.0,2.0
B-B,,,,GE,,"158,8 mm (6 1/4 in) x 203,2 mm (8 in)",,,1961,1514 L,,Larga,GT601,3.0,700,,11.0,,,,Caterpillar,,,,,Caterpillar,,,,DIESEL_ELECTRIC,,,,,,,15,7G1A5,,,64.0,,53.1,53.1,18.835,914.4,2.0,2.0
B-B,,,6SL,GE,,,,,1960,1514 L,,Métrica,5GT-601-A1,3658.0,900,,11380.0,,,,Caterpillar,,,V Superalimentado,,,,,,DIESEL_ELECTRIC,,,,2131-2190,,,,5GE-761-A1,,,96.0,,54500.0,,13625.0,914.4,,2743.0
B-B (Brasil) ou C-C (Chile),,,,GE,,,,,1957,,,,,,1060,,,,,,Cooper-Bessemer,,,,,,,,,DIESEL_ELECTRIC,,,,RFFSA 2197 a 2199,,,,,,,,,,,,,,
B-B,,,,GE,,,,,1961,,,Larga,5GT-601,,1050,,,,,,Caterpillar,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,5GE 752,,,,,,,,1.0,,
B-B,,0.25,6SL,EMD,,"215,9 mm (8 1/2 in) x 254,0mm (10 in)",,,1953,4540 L,,Métrica,D15-E,3.0,,,13.0,,,,EMD,9.290cc³ x 12,,Combustão interna,,,,,,DIESEL_ELECTRIC,800,0.34,,4091 a 4099,,,14,D19,Flexcoil,,97.0,16.0,68.0,68.0,17.0,1016.0,2.0,2.0
B-B,,,,EMD,,,,,1956,1590 L,,,,,,,,,,,,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,,,,64.0,,54400.0,,13600.0,,,
B-B,,,,LEW,620,175 mm x 180 mm,,,1967,2900 L,,Métrica,GBG 0609-150A,3900.0,1050,,14660.0,,,,SACM,,,12 cilindros em “V”,,Alemãzinha,,,,DIESEL_ELECTRIC,1500,,,7761 a 7796,,,,GMFB 0609-41,Apoio Elástico,,,,74000.0,,18500.0,1050.0,7700.0,3000.0
B-B,,,,LEW,620,175 mm x 180 mm,,,1968,2900 L,,Métrica,GBG 0909-150A,3900.0,1050,,14500.0,,,,SACM,,,12 cilindros em “V”,,Alemãzinha,,,,DIESEL_ELECTRIC,1500,,,3701 a 3730,,,,GMFB 0609-41,Soldado,,,,70000.0,,17500.0,1050.0,7700.0,3000.0
B-B,,,,LEW,720,175 mm x 180 mm,,,1968,2900 L,,Métrica,GBG 0609-150A,3900.0,1400,,14500.0,,,,SACM,,,16 cilindros em “V”,,Alemãzinha,,,,DIESEL_ELECTRIC,1500,,,3751 a 3767,,,,GMFB 0609-41,Soldado,,,,70000.0,,17500.0,1050.0,7700.0,3000.0
1-D-1,,,,Winterthur,,,,,1929,,,Larga,,,,,16192.0,,,,,,,,,,,,,ELECTRIC,,,,,,,,,,,105.0,,123400.0,,,1600.0,,
